COMID,Flow_cfs,StreamOrder,SizeClass,slope,GradientClass
248306,0.096,1,HW,0.00409563,Low
248308,0.38,1,HW,0.00291452,Low
248310,0.628,2,HW,0.00190591,Low
248312,1.07,1,HW,0.00336976,Low
248314,1.716,2,HW,0.00041379,Very low
248316,0.105,1,HW,0.00525635,Moderate
248318,2.145,2,SC,0.0015347,Low
248320,2.391,2,SC,0.00110807,Low
248322,2.524,2,SC,0.00201072,Low
248324,0.065,1,HW,0.0062807,Moderate
248326,0.354,1,HW,0.00556313,Moderate
248328,5.041,2,SC,1.00E-05,Very low
248330,3.671,2,SC,0.00127714,Low
248332,3.238,2,SC,0.00123267,Low
248334,0.081,1,HW,0.00333164,Low
248336,0.202,1,HW,0.00277765,Low
248338,0.073,1,HW,0.00179692,Low
248340,0.11,1,HW,0.00053846,Very low
248342,0.132,1,HW,0.00363378,Low
248346,0.294,1,HW,0.0030514,Low
248348,0.42,1,HW,0.00277289,Low
248352,5.484,2,SC,0.00089079,Very low
248354,0.379,1,HW,0.00217787,Low
248356,0.271,1,HW,0.00365625,Low
248358,0.177,1,HW,0.00409473,Low
248360,0.034,1,HW,0.00738901,Moderate
248364,0.776,1,HW,0.00301628,Low
248432,1.37,1,HW,0.0021601,Low
248434,1.794,2,HW,0.0023383,Low
248436,0.064,1,HW,0.00672519,Moderate
248438,0.808,1,HW,0.008,Moderate
248440,0.808,1,HW,0.00226966,Low
248442,0.041,1,HW,0.0035,Low
248444,0,1,,-9998,Very low
248988,0.074,1,HW,0.01411764,Moderate
248994,0.01,1,HW,0.01561643,Moderate
248998,0.107,1,HW,0.00634862,Moderate
249000,0.209,1,HW,0.00597609,Moderate
249002,0.053,1,HW,0.00542134,Moderate
249004,0.009,1,HW,0.00933085,Moderate
249006,0.092,1,HW,0.00453422,Low
249008,0.178,1,HW,0.00475139,Low
249010,0.361,1,HW,0.00420894,Low
249012,0.471,1,HW,0.0024741,Low
249014,0.696,1,HW,0.00324342,Low
249016,1.172,2,HW,0.00643939,Moderate
249018,0.61,1,HW,0.0030538,Low
249020,0.157,1,HW,0.00371284,Low
249022,0.295,1,HW,0.00311415,Low
249024,0.194,1,HW,0.00480165,Low
249026,0.358,1,HW,0.00328073,Low
249028,0.593,2,HW,0.00207809,Low
249030,0.278,1,HW,0.00456426,Low
249032,0.457,2,HW,0.00177966,Low
249034,0.261,1,HW,0.00509283,Moderate
249036,1.88,2,HW,0.00108464,Low
249038,0.155,1,HW,0.00445969,Low
249040,2.046,2,SC,0.00042613,Very low
249042,6.681,2,SC,0.00113954,Low
249044,0.866,1,HW,0.00345209,Low
249046,0.111,1,HW,0.00642568,Moderate
249048,1.187,2,HW,1.00E-05,Very low
249050,8.739,3,SC,1.00E-05,Very low
249052,0.746,1,HW,0.00283754,Low
249054,1.099,2,HW,0.0032089,Low
249056,0.755,1,HW,0.00442686,Low
249058,0.761,1,HW,0.00405172,Low
249060,0.375,1,HW,0.00389505,Low
249062,0.11,1,HW,0.00624124,Moderate
249064,0.183,1,HW,0.00594044,Moderate
